"Class","Order","Family","Genus"
"gammaproteobacteria","oceanospirillales","saccharospirillaceae","saccharospirillum"
"betaproteobacteria","rhodocyclales","zoogloeaceae","azoarcus"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","aquamicrobium"
"gammaproteobacteria","oceanospirillales","halomonadaceae","candidatus carsonella"
"clostridia","eubacteriales","peptococcaceae","desulfosporosinus"
"gammaproteobacteria","enterobacterales","pectobacteriaceae","pectobacterium"
"ktedonobacteria","ktedonobacterales","ktedonobacteraceae","ktedonobacter"
"thermomicrobia","thermomicrobiales","thermomicrobiaceae","thermomicrobium"
"actinomycetia","micrococcales","intrasporangiaceae","intrasporangium"
"gammaproteobacteria","chromatiales","chromatiaceae","marichromatium"
"alphaproteobacteria","hyphomicrobiales","rhizobiaceae","agrobacterium"
"gammaproteobacteria","chromatiales","halothiobacillaceae","halothiobacillus"
"deltaproteobacteria","myxococcales","nannocystaceae","nannocystis"
"cytophagia","cytophagales","cytophagaceae","spirosoma"
"clostridia","eubacteriales","clostridiaceae","clostridium"
"anaerolineae","anaerolineales","anaerolineaceae","leptolinea"
"spirochaetia","spirochaetales","treponemataceae","treponema"
"thermomicrobia","sphaerobacterales","sphaerobacteraceae","nitrolancea"
"flavobacteriia","flavobacteriales","weeksellaceae","riemerella"
"bacilli","bacillales","paenibacillaceae","cohnella"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","thioalkalivibrio"
"candidatus brocadiae","candidatus brocadiales","candidatus brocadiaceae","candidatus brocadia"
"acidobacteriia","acidobacteriales","acidobacteriaceae","edaphobacter"
"thermolithobacteria","thermolithobacterales","thermolithobacteraceae","thermolithobacter"
"cytophagia","cytophagales","cytophagaceae","siphonobacter"
"alphaproteobacteria","hyphomicrobiales","parvibaculaceae","parvibaculum"
"thermoleophilia","solirubrobacterales","patulibacteraceae","patulibacter"
"synergistia","synergistales","synergistaceae","anaerobaculum"
"gammaproteobacteria","chromatiales","chromatiaceae","thiohalocapsa"
"actinomycetia","streptosporangiales","streptosporangiaceae","thermoactinospora"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","carboxydothermus"
"opitutae","opitutales","opitutaceae","alterococcus"
"betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosomonas"
"cytophagia","cytophagales","cytophagaceae","flectobacillus"
"actinomycetia","micromonosporales","micromonosporaceae","hamadaea"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","raoultella"
"verrucomicrobiae","verrucomicrobiales","rubritaleaceae","rubritalea"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","roseococcus"
"actinomycetia","micrococcales","dermabacteraceae","brachybacterium"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","thiohalomonas"
"mollicutes","mycoplasmatales","mycoplasmataceae","candidatus hepatoplasma"
"bacilli","bacillales","thermoactinomycetaceae","shimazuella"
"betaproteobacteria","burkholderiales","comamonadaceae","ramlibacter"
"flavobacteriia","flavobacteriales","crocinitomicaceae","fluviicola"
"alphaproteobacteria","rickettsiales","rickettsiales","lyticum"
"alphaproteobacteria","sphingomonadales","erythrobacteraceae","altererythrobacter"
"fibrobacteria","fibrobacterales","fibrobacteraceae","fibrobacter"
"actinomycetia","micrococcales","bogoriellaceae","georgenia"
"alphaproteobacteria","hyphomicrobiales","kaistiaceae","bauldia"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","rhodovastum"
"gammaproteobacteria","oceanospirillales","halomonadaceae","halomonas"
"alphaproteobacteria","rhodospirillales","zavarziniaceae","zavarzinia"
"alphaproteobacteria","hyphomicrobiales","stappiaceae","labrenzia"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","rhodovulum"
"gammaproteobacteria","alteromonadales","alteromonadaceae","marinobacter"
"betaproteobacteria","rhodocyclales","azonexaceae","dechloromonas"
"spirochaetia","leptospirales","leptospiraceae","leptospira"
"planctomycetia","gemmatales","gemmataceae","telmatocola"
"actinomycetia","propionibacteriales","nocardioidaceae","marmoricola"
"alphaproteobacteria","hyphomicrobiales","devosiaceae","vasilyevaea"
"gammaproteobacteria","oceanospirillales","oceanospirillaceae","marinobacterium"
"alphaproteobacteria","hyphomicrobiales","rhizobiaceae","neorhizobium"
"clostridia","eubacteriales","heliobacteriaceae","heliorestis"
"alphaproteobacteria","rickettsiales","rickettsiaceae","rickettsia"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","dielma"
"mollicutes","acholeplasmatales","acholeplasmataceae","candidatus phytoplasma"
"gammaproteobacteria","chromatiales","thioprofundaceae","thioprofundum"
"actinomycetia","corynebacteriales","dietziaceae","dietzia"
"bacteroidia","marinilabiliales","marinilabiliaceae","mangroviflexus"
"erysipelotrichia","erysipelotrichales","turicibacteraceae","turicibacter"
"gammaproteobacteria","acidiferrobacterales","acidiferrobacteraceae","acidiferrobacter"
"mollicutes","entomoplasmatales","spiroplasmataceae","spiroplasma"
"alphaproteobacteria","hyphomicrobiales","chelatococcaceae","camelimonas"
"clostridia","thermosediminibacterales","thermosediminibacteraceae","thermovenabulum"
"actinomycetia","corynebacteriales","corynebacteriaceae","corynebacterium"
"actinomycetia","candidatus nanopelagicales","candidatus nanopelagicaceae","candidatus planktophila"
"armatimonadia","armatimonadales","armatimonadaceae","armatimonas"
"alphaproteobacteria","hyphomicrobiales","pleomorphomonadaceae","pleomorphomonas"
"gammaproteobacteria","nevskiales","sinobacteraceae","fontimonas"
"alphaproteobacteria","sphingomonadales","erythrobacteraceae","croceicoccus"
"cytophagia","cytophagales","cesiribacteraceae","cesiribacter"
"cyanobacteria","synechococcales","pseudanabaenaceae","pseudanabaena"
"actinomycetia","catenulisporales","catenulisporaceae","catenulispora"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","alkalilimnicola"
"alphaproteobacteria","kordiimonadales","kordiimonadaceae","kordiimonas"
"bacilli","bacillales","bacillaceae","terribacillus"
"betaproteobacteria","burkholderiales","alcaligenaceae","pigmentiphaga"
"actinomycetia","corynebacteriales","nocardiaceae","smaragdicoccus"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","luteimonas"
"actinomycetia","actinomycetales","actinomycetaceae","actinomyces"
"deltaproteobacteria","myxococcales","myxococcaceae","pyxidicoccus"
"alphaproteobacteria","rhodospirillales","thalassobaculaceae","oceanibaculum"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","blastomonas"
"betaproteobacteria","burkholderiales","burkholderiaceae","candidatus protistobacter"
"bacteroidia","marinilabiliales","prolixibacteraceae","sunxiuqinia"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","rhodospirillum"
"gammaproteobacteria","oceanospirillales","halomonadaceae","kushneria"
"bacilli","lactobacillales","carnobacteriaceae","trichococcus"
"actinomycetia","micrococcales","microbacteriaceae","curtobacterium"
"betaproteobacteria","burkholderiales","oxalobacteraceae","herbaspirillum"
"spartobacteria","spartobacteria","spartobacteria","candidatus xiphinematobacter"
"tissierellia","tissierellales","tissierellaceae","sporanaerobacter"
"gammaproteobacteria","cellvibrionales","halieaceae","congregibacter"
"dehalococcoidia","dehalococcoidia","dehalococcoidia","dehalogenimonas"
"actinomycetia","streptomycetales","streptomycetaceae","kitasatospora"
"actinomycetia","streptosporangiales","streptosporangiaceae","clavisporangium"
"deltaproteobacteria","desulfovibrionales","desulfohalobiaceae","desulfonauticus"
"deltaproteobacteria","deltaproteobacteria","deltaproteobacteria","candidatus babela"
"actinomycetia","streptosporangiales","nocardiopsaceae","nocardiopsis"
"betaproteobacteria","burkholderiales","comamonadaceae","polaromonas"
"bacilli","bacillales","thermoactinomycetaceae","planifilum"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","aquisalimonas"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiales","methylosulfonomonas"
"bacilli","bacillales","bacillaceae","aeribacillus"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","rhodanobacter"
"alphaproteobacteria","alphaproteobacteria","alphaproteobacteria","candidatus monilibacter"
"actinomycetia","streptosporangiales","streptosporangiaceae","microbispora"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","acidiphilium"
"deltaproteobacteria","deltaproteobacteria","deltaproteobacteria","deferrisoma"
"mollicutes","mycoplasmatales","mycoplasmataceae","mycoplasma"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum"
"alphaproteobacteria","hyphomicrobiales","xanthobacteraceae","starkeya"
"planctomycetia","planctomycetales","planctomycetaceae","schlesneria"
"bacilli","lactobacillales","streptococcaceae","lactococcus"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","thermodesulforhabdus"
"cytophagia","cytophagales","amoebophilaceae","candidatus amoebophilus"
"flavobacteriia","flavobacteriales","weeksellaceae","epilithonimonas"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingorhabdus"
"bacilli","bacillales","paenibacillaceae","brevibacillus"
"cyanobacteria","synechococcales","leptolyngbyaceae","leptolyngbya"
"bacteroidia","bacteroidales","bacteroidaceae","anaerorhabdus"
"gammaproteobacteria","oceanospirillales","halomonadaceae","candidatus evansia"
"alphaproteobacteria","maricaulales","robiginitomaculaceae","robiginitomaculum"
"fusobacteriia","fusobacteriales","fusobacteriaceae","fusobacterium"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","actinoalloteichus"
"betaproteobacteria","burkholderiales","burkholderiaceae","candidatus glomeribacter"
"actinomycetia","streptosporangiales","streptosporangiaceae","thermobispora"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfofrigus"
"chloroflexia","chloroflexales","roseiflexaceae","roseiflexus"
"actinomycetia","micrococcales","intrasporangiaceae","janibacter"
"bacteroidia","bacteroidales","rikenellaceae","ruminofilibacter"
"clostridia","eubacteriales","clostridiaceae","thermobrachium"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulforhabdus"
"betaproteobacteria","neisseriales","chromobacteriaceae","pseudogulbenkiania"
"alphaproteobacteria","rickettsiales","anaplasmataceae","ehrlichia"
"flavobacteriia","flavobacteriales","crocinitomicaceae","salinirepens"
"nitriliruptoria","nitriliruptorales","nitriliruptoraceae","nitriliruptor"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","sedimenticola"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","actinokineospora"
"betaproteobacteria","burkholderiales","alcaligenaceae","azohydromonas"
"alphaproteobacteria","hyphomicrobiales","xanthobacteraceae","ancylobacter"
"clostridia","eubacteriales","peptostreptococcaceae","peptoclostridium"
"chlamydiia","parachlamydiales","simkaniaceae","simkania"
"deltaproteobacteria","myxococcales","archangiaceae","melittangium"
"cytophagia","cytophagales","roseivirgaceae","roseivirga"
"deltaproteobacteria","desulfuromonadales","geobacteraceae","geopsychrobacter"
"betaproteobacteria","rhodocyclales","zoogloeaceae","zoogloea"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","insolitispirillum"
"alphaproteobacteria","rickettsiales","anaplasmataceae","anaplasma"
"gammaproteobacteria","cellvibrionales","cellvibrionaceae","teredinibacter"
"clostridia","eubacteriales","peptococcaceae","peptococcus"
"chitinophagia","chitinophagales","chitinophagaceae","filimonas"
"clostridia","eubacteriales","clostridiaceae","caloramator"
"clostridia","eubacteriales","peptococcaceae","candidatus desulforudis"
"alphaproteobacteria","hyphomicrobiales","rhodovibrionaceae","rhodovibrio"
"bacteroidia","bacteroidales","bacteroidaceae","bacteroides"
"clostridia","thermoanaerobacterales","thermoanaerobacterales family iii. incertae sedis","caldicellulosiruptor"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","syntrophobacter"
"alphaproteobacteria","rickettsiales","anaplasmataceae","candidatus neoehrlichia"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","methylonatrum"
"negativicutes","veillonellales","veillonellaceae","dialister"
"deltaproteobacteria","syntrophobacterales","syntrophaceae","smithella"
"gammaproteobacteria","enterobacterales","yersiniaceae","yersinia"
"actinomycetia","micrococcales","micrococcaceae","rothia"
"bacilli","bacillales","bacillaceae","hydrogenibacillus"
"alphaproteobacteria","hyphomonadales","hyphomonadaceae","hyphomonas"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","holdemania"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","aminobacter"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfovirga"
"bacilli","bacillales","paenibacillaceae","saccharibacillus"
"betaproteobacteria","burkholderiales","burkholderiaceae","pandoraea"
"candidatus saccharibacteria","candidatus saccharibacteria","candidatus saccharibacteria","candidatus saccharimonas"
"deltaproteobacteria","myxococcales","vulgatibacteraceae","vulgatibacter"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfobacter"
"cytophagia","cytophagales","cytophagaceae","emticicia"
"chlamydiia","parachlamydiales","parachlamydiaceae","parachlamydia"
"clostridia","eubacteriales","peptostreptococcaceae","sporacetigenium"
"thermoflexia","thermoflexales","thermoflexaceae","thermoflexus"
"alphaproteobacteria","hyphomonadales","hyphomonadaceae","henriciella"
"alphaproteobacteria","maricaulales","maricaulaceae","maricaulis"
"oligoflexia","bacteriovoracales","bacteriovoracaceae","bacteriovorax"
"bacteroidia","bacteroidales","dysgonomonadaceae","proteiniphilum"
"flavobacteriia","flavobacteriales","flavobacteriales","candidatus sulcia"
"chlamydiia","parachlamydiales","parachlamydiaceae","candidatus protochlamydia"
"betaproteobacteria","burkholderiales","comamonadaceae","limnohabitans"
"actinomycetia","propionibacteriales","nocardioidaceae","pimelobacter"
"clostridia","eubacteriales","eubacteriaceae","eubacterium"
"actinomycetia","streptosporangiales","streptosporangiaceae","sphaerisporangium"
"bacteroidia","bacteroidales","rikenellaceae","alistipes"
"acidimicrobiia","acidimicrobiales","acidimicrobiaceae","acidithrix"
"betaproteobacteria","burkholderiales","burkholderiales","mitsuaria"
"cytophagia","cytophagales","reichenbachiellaceae","marinoscillum"
"alphaproteobacteria","hyphomicrobiales","bartonellaceae","bartonella"
"clostridia","eubacteriales","syntrophomonadaceae","syntrophomonas"
"clostridia","eubacteriales","lachnospiraceae","anaerostipes"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","acidisoma"
"mollicutes","acholeplasmatales","acholeplasmataceae","acholeplasma"
"deltaproteobacteria","desulfovibrionales","desulfohalobiaceae","desulfothermus"
"bacteroidia","bacteroidales","tannerellaceae","parabacteroides"
"bacilli","bacillales","alicyclobacillaceae","tumebacillus"
"deltaproteobacteria","myxococcales","archangiaceae","stigmatella"
"cyanobacteria","pleurocapsales","dermocarpellaceae","stanieria"
"thermotogae","thermotogales","fervidobacteriaceae","thermosipho"
"alphaproteobacteria","rhodospirillales","azospirillaceae","desertibacter"
"tissierellia","tissierellales","tissierellaceae","tepidimicrobium"
"cytophagia","cytophagales","cytophagaceae","fibrella"
"betaproteobacteria","betaproteobacteria","betaproteobacteria","proteinimicrobium"
"flavobacteriia","flavobacteriales","flavobacteriaceae","ascidianibacter"
"acidimicrobiia","acidimicrobiales","acidimicrobiaceae","acidimicrobium"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","rhodomicrobium"
"bacilli","bacillales","bacillaceae","oceanobacillus"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","'gynumella'"
"gammaproteobacteria","cardiobacteriales","cardiobacteriaceae","cardiobacterium"
"epsilonproteobacteria","campylobacterales","campylobacteraceae","campylobacter"
"deltaproteobacteria","desulfuromonadales","desulfuromonadaceae","desulfuromonas"
"actinomycetia","jiangellales","jiangellaceae","jiangella"
"actinomycetia","micrococcales","promicromonosporaceae","isoptericola"
"betaproteobacteria","burkholderiales","burkholderiaceae","chitinimonas"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfosarcina"
"planctomycetia","isosphaerales","isosphaeraceae","isosphaera"
"gammaproteobacteria","cellvibrionales","halieaceae","halioglobus"
"clostridia","eubacteriales","oscillospiraceae","ruminococcus"
"tissierellia","tissierellales","peptoniphilaceae","finegoldia"
"deltaproteobacteria","desulfovibrionales","desulfohalobiaceae","desulfohalobium"
"clostridia","eubacteriales","lachnospiraceae","butyrivibrio"
"gammaproteobacteria","thiotrichales","thiotrichaceae","candidatus allobeggiato"
"alphaproteobacteria","hyphomicrobiales","beijerinckiaceae","beijerinckia"
"bacteroidia","marinilabiliales","prolixibacteraceae","prolixibacter"
"alphaproteobacteria","pelagibacterales","pelagibacteraceae","candidatus pelagibacter"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter"
"actinomycetia","micromonosporales","micromonosporaceae","phytomonospora"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","parasphingopyxis"
"actinomycetia","micrococcales","intrasporangiaceae","tetrasphaera"
"actinomycetia","propionibacteriales","nocardioidaceae","flindersiella"
"actinomycetia","propionibacteriales","actinopolymorphaceae","actinopolymorpha"
"gammaproteobacteria","cardiobacteriales","cardiobacteriaceae","dichelobacter"
"bacilli","bacillales","paenibacillaceae","oxalophagus"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfococcus"
"clostridia","eubacteriales","eubacteriaceae","alkalibaculum"
"bacilli","bacillales","sporolactobacillaceae","sporolactobacillus"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfobacterium"
"chlamydiia","parachlamydiales","rhabdochlamydiaceae","candidatus rhabdochlamydia"
"bacteroidia","marinilabiliales","prolixibacteraceae","mariniphaga"
"bacilli","bacillales","thermoactinomycetaceae","laceyella"
"bacilli","bacillales","bacillaceae","virgibacillus"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","plesiomonas"
"tissierellia","tissierellales","tissierellaceae","tissierella"
"clostridia","eubacteriales","peptococcaceae","desulfonispora"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","acidicaldus"
"clostridia","eubacteriales","oscillospiraceae","faecalibacterium"
"bacteroidia","bacteroidales","porphyromonadaceae","porphyromonas"
"gammaproteobacteria","cellvibrionales","spongiibacteraceae","spongiibacter"
"flavobacteriia","flavobacteriales","crocinitomicaceae","crocinitomix"
"clostridia","eubacteriales","lachnospiraceae","shuttleworthia"
"actinomycetia","micrococcales","demequinaceae","lysinimicrobium"
"actinomycetia","micrococcales","beutenbergiaceae","salana"
"negativicutes","veillonellales","veillonellaceae","veillonella"
"holophagae","thermotomaculales","thermotomaculaceae","thermotomaculum"
"actinomycetia","micrococcales","microbacteriaceae","subtercola"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfatitalea"
"betaproteobacteria","burkholderiales","oxalobacteraceae","collimonas"
"actinomycetia","micromonosporales","micromonosporaceae","longispora"
"cytophagia","cytophagales","mooreiaceae","mooreia"
"flavobacteriia","flavobacteriales","weeksellaceae","empedobacter"
"bacilli","bacillales","bacillales","gemella"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfacinum"
"alphaproteobacteria","hyphomicrobiales","ancalomicrobiaceae","ancalomicrobium"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pseudosphingobacterium"
"gammaproteobacteria","enterobacterales","erwiniaceae","buchnera"
"chloroflexia","chloroflexales","oscillochloridaceae","chloronema"
"betaproteobacteria","burkholderiales","sutterellaceae","sutterella"
"betaproteobacteria","burkholderiales","comamonadaceae","pseudorhodoferax"
"alphaproteobacteria","rickettsiales","rickettsiaceae","orientia"
"opitutae","puniceicoccales","puniceicoccaceae","puniceicoccus"
"gammaproteobacteria","enterobacterales","erwiniaceae","erwinia"
"gammaproteobacteria","methylococcales","methylococcaceae","methylococcus"
"clostridia","eubacteriales","clostridiaceae","lutispora"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","phaeospirillum"
"alphaproteobacteria","parvularculales","parvularculaceae","parvularcula"
"tissierellia","tissierellales","gottschalkiaceae","gottschalkia"
"bacilli","bacillales","thermoactinomycetaceae","thermoactinomyces"
"actinomycetia","kineosporiales","kineosporiaceae","kineococcus"
"deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulfocapsa"
"betaproteobacteria","burkholderiales","burkholderiales","aquincola"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","komagataeibacter"
"actinomycetia","frankiales","frankiaceae","frankia"
"alphaproteobacteria","caulobacterales","caulobacteraceae","asticcacaulis"
"betaproteobacteria","nitrosomonadales","gallionellaceae","sideroxydans"
"negativicutes","selenomonadales","sporomusaceae","thermosinus"
"cytophagia","cytophagales","cytophagaceae","larkinella"
"deltaproteobacteria","desulfovibrionales","desulfovibrionaceae","bilophila"
"cytophagia","cytophagales","reichenbachiellaceae","ekhidna"
"clostridia","eubacteriales","syntrophomonadaceae","syntrophothermus"
"betaproteobacteria","burkholderiales","burkholderiaceae","limnobacter"
"gammaproteobacteria","oceanospirillales","oceanospirillaceae","thalassolituus"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","roseobacter"
"gammaproteobacteria","pasteurellales","pasteurellaceae","haemophilus"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","novispirillum"
"gammaproteobacteria","methylococcales","methylococcaceae","methyloprofundus"
"flavobacteriia","flavobacteriales","flavobacteriaceae","aureivirga"
"bacteroidia","bacteroidales","prevotellaceae","prevotella"
"bacilli","lactobacillales","lactobacillaceae","pediococcus"
"alphaproteobacteria","magnetococcales","magnetococcaceae","magnetococcus"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","ammonifex"
"clostridia","eubacteriales","clostridiales family xvi. incertae sedis","carboxydocella"
"actinomycetia","corynebacteriales","cryptosporangiaceae","fodinicola"
"betaproteobacteria","burkholderiales","burkholderiales","aquabacterium"
"gammaproteobacteria","oceanospirillales","halomonadaceae","salinicola"
"gammaproteobacteria","pseudomonadales","pseudomonadaceae","azotobacter"
"acidithiobacillia","acidithiobacillales","acidithiobacillaceae","acidithiobacillus"
"actinomycetia","propionibacteriales","propionibacteriaceae","tessaracoccus"
"chloroflexia","chloroflexales","oscillochloridaceae","candidatus chloroploca"
"gammaproteobacteria","oceanospirillales","litoricolaceae","litoricola"
"deltaproteobacteria","desulfuromonadales","desulfuromonadaceae","desulfuromusa"
"betaproteobacteria","burkholderiales","burkholderiales","paucibacter"
"methylacidiphilae","methylacidiphilales","methylacidiphilaceae","methylacidiphilum"
"actinomycetia","propionibacteriales","propionibacteriaceae","microlunatus"
"gammaproteobacteria","aeromonadales","aeromonadaceae","aeromonas"
"epsilonproteobacteria","nautiliales","nautiliaceae","lebetimonas"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","sulfitobacter"
"hydrogenophilalia","hydrogenophilales","hydrogenophilaceae","tepidiphilus"
"bacilli","bacillales","planococcaceae","sporosarcina"
"cyanobacteria","synechococcales","prochlorotrichaceae","nodosilinea"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","silanimonas"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","kibdelosporangium"
"acidobacteriia","acidobacteriales","acidobacteriaceae","granulicella"
"clostridia","eubacteriales","eubacteriaceae","acetobacterium"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","arcticibacter"
"gammaproteobacteria","chromatiales","chromatiaceae","nitrosococcus"
"negativicutes","acidaminococcales","acidaminococcaceae","phascolarctobacterium"
"gammaproteobacteria","legionellales","coxiellaceae","coxiella"
"betaproteobacteria","rhodocyclales","rhodocyclaceae","azospira"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","rubrimonas"
"betaproteobacteria","burkholderiales","oxalobacteraceae","candidatus zinderia"
"alphaproteobacteria","hyphomicrobiales","parvibaculaceae","candidatus phaeomarinobacter"
"deltaproteobacteria","desulfarculales","desulfarculaceae","desulfarculus"
"alphaproteobacteria","sphingomonadales","sphingosinicellaceae","sandarakinorhabdus"
"bacilli","bacillales","paenibacillaceae","ammoniibacillus"
"gammaproteobacteria","thiotrichales","thiotrichaceae","thiothrix"
"bacteroidia","bacteroidales","porphyromonadaceae","microbacter"
"gammaproteobacteria","nevskiales","sinobacteraceae","polycyclovorans"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","rubritepida"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","saccharomonospora"
"flavobacteriia","flavobacteriales","flavobacteriaceae","lutibacter"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfatirhabdium"
"alphaproteobacteria","hyphomicrobiales","beijerinckiaceae","methylocapsa"
"clostridia","thermosediminibacterales","thermosediminibacteraceae","thermovorax"
"oligoflexia","silvanigrellales","silvanigrellales","spirobacillus"
"erysipelotrichia","erysipelotrichales","coprobacillaceae","coprobacillus"
"bacilli","lactobacillales","carnobacteriaceae","atopostipes"
"gammaproteobacteria","pseudomonadales","moraxellaceae","alkanindiges"
"gammaproteobacteria","thiotrichales","thiotrichaceae","thioploca"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","holdemanella"
"bacilli","bacillales","bacillaceae","lysinibacillus"
"actinomycetia","micromonosporales","micromonosporaceae","phytohabitans"
"alphaproteobacteria","rhodospirillales","moraxellaceae","enhydrobacter"
"betaproteobacteria","burkholderiales","oxalobacteraceae","undibacterium"
"betaproteobacteria","neisseriales","chromobacteriaceae","chromobacterium"
"thermodesulfobacteria","thermodesulfobacteriales","thermodesulfobacteriaceae","geothermobacterium"
"synergistia","synergistales","synergistaceae","thermanaerovibrio"
"saprospiria","saprospirales","haliscomenobacteraceae","haliscomenobacter"
"betaproteobacteria","burkholderiales","comamonadaceae","hydrogenophaga"
"betaproteobacteria","burkholderiales","burkholderiales","tepidimonas"
"alphaproteobacteria","rhizobiales","rhizobiaceae","candidatus liberibacter"
"candidatus brocadiae","candidatus brocadiales","candidatus brocadiaceae","candidatus anammoxoglobus"
"betaproteobacteria","procabacteriales","procabacteriaceae","procabacter"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","gemmobacter"
"alphaproteobacteria","rhodospirillales","thalassobaculaceae","thalassobaculum"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","fulvimonas"
"deinococci","deinococcales","deinococcaceae","deinococcus"
"spirochaetia","leptospirales","leptospiraceae","turneriella"
"alphaproteobacteria","rhodospirillales","thalassospiraceae","magnetospira"
"actinomycetia","corynebacteriales","gordoniaceae","gordonia"
"betaproteobacteria","nitrosomonadales","methylophilaceae","methylovorus"
"gammaproteobacteria","pseudomonadales","moraxellaceae","psychrobacter"
"chlamydiia","parachlamydiales","parachlamydiaceae","candidatus metachlamydia"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","thermoanaerobacter"
"clostridia","eubacteriales","clostridiaceae","alkaliphilus"
"clostridia","eubacteriales","peptococcaceae","desulfitobacterium"
"clostridia","eubacteriales","oscillospiraceae","flavonifractor"
"alphaproteobacteria","sphingomonadales","erythrobacteraceae","erythromicrobium"
"bacilli","bacillales","staphylococcaceae","salinicoccus"
"bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","rhodothermus"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","candidatus ruthia"
"clostridia","halanaerobiales","halanaerobiaceae","halothermothrix"
"deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulfurivibrio"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","goodfellowiella"
"betaproteobacteria","nitrosomonadales","gallionellaceae","gallionella"
"cyanobacteria","synechococcales","merismopediaceae","synechocystis"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","candidatus blochmannia"
"betaproteobacteria","burkholderiales","comamonadaceae","xenophilus"
"clostridia","eubacteriales","lachnospiraceae","lachnospira"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","spiribacter"
"mollicutes","entomoplasmatales","entomoplasmataceae","entomoplasma"
"gammaproteobacteria","thiotrichales","thiotrichaceae","achromatium"
"actinomycetia","micromonosporales","micromonosporaceae","pilimelia"
"alphaproteobacteria","hyphomicrobiales","aurantimonadaceae","martelella"
